rule_number,lhs,rhs,confidence,lift,leverage,conviction
5152,"['101=101_0', '142=142_0']",['97+=97+_1'],0.8,0.98,-0.01,0.93
5153,['101=101_0'],"['97+=97+_1', '142=142_0']",0.8,0.98,-0.01,0.93
5157,['100=100_0'],['97+=97+_1'],0.8,0.98,-0.01,0.93
5162,"['100=100_0', '142=142_0']",['97+=97+_1'],0.8,0.98,-0.01,0.93
5163,['100=100_0'],"['97+=97+_1', '142=142_0']",0.8,0.98,-0.01,0.93
5235,['132=132_0'],['97+=97+_1'],0.8,0.98,-0.01,0.92
5236,"['132=132_0', '142=142_0']",['97+=97+_1'],0.8,0.98,-0.01,0.92
5237,['132=132_0'],"['97+=97+_1', '142=142_0']",0.8,0.98,-0.01,0.92
5292,"['132=132_0', '121=121_0', '124=124_0']",['97+=97+_1'],0.8,0.98,-0.01,0.92
5293,"['132=132_0', '121=121_0', '124=124_0', '142=142_0']",['97+=97+_1'],0.8,0.98,-0.01,0.92
5294,"['132=132_0', '121=121_0', '124=124_0']","['97+=97+_1', '142=142_0']",0.8,0.98,-0.01,0.92
5379,"['132=132_0', '121=121_0', '124=124_0', '133=133_0']",['97+=97+_1'],0.8,0.98,-0.01,0.91
5380,"['132=132_0', '121=121_0', '124=124_0', '133=133_0', '142=142_0']",['97+=97+_1'],0.8,0.98,-0.01,0.91
5381,"['132=132_0', '121=121_0', '124=124_0', '133=133_0']","['97+=97+_1', '142=142_0']",0.8,0.98,-0.01,0.91
5403,"['100=100_1', '121=121_0']",['97+=97+_1'],0.8,0.98,-0.01,0.91
5404,"['100=100_1', '121=121_0', '142=142_0']",['97+=97+_1'],0.8,0.98,-0.01,0.91
5405,"['100=100_1', '121=121_0']","['97+=97+_1', '142=142_0']",0.8,0.98,-0.01,0.91
